censo,iso_3166-2_AR,provincia,sexo,rango_etario,nativo_extranjero,poblacion,
1869,AR,ARGENTINA,V,85+,E,537,
1895,AR,ARGENTINA,M,05-09,E,21291,
1895,AR,ARGENTINA,M,10-14,E,30825,
1895,AR,ARGENTINA,M,00-04,E,7655,
1895,AR,ARGENTINA,M,15-19,E,34752,
1895,AR,ARGENTINA,M,20-24,E,38599,
1895,AR,ARGENTINA,M,25-29,E,45343,
1895,AR,ARGENTINA,M,30-34,E,44927,
1895,AR,ARGENTINA,M,35-39,E,39607,
1895,AR,ARGENTINA,M,40-44,E,33780,
1895,AR,ARGENTINA,M,45-49,E,23945,
1895,AR,ARGENTINA,M,50-54,E,18745,
1895,AR,ARGENTINA,M,55-59,E,10357,
1895,AR,ARGENTINA,M,60-64,E,8768,
1895,AR,ARGENTINA,M,65-69,E,4399,
1895,AR,ARGENTINA,M,70-74,E,2945,
1895,AR,ARGENTINA,M,75-79,E,1376,
1895,AR,ARGENTINA,M,80-84,E,794,
1895,AR,ARGENTINA,M,85+,E,452,
1895,AR,ARGENTINA,V,05-09,E,23280,
1895,AR,ARGENTINA,V,10-14,E,35886,
1895,AR,ARGENTINA,V,00-04,E,8349,
1895,AR,ARGENTINA,V,15-19,E,45840,
1895,AR,ARGENTINA,V,20-24,E,60857,
1895,AR,ARGENTINA,V,25-29,E,82906,
1895,AR,ARGENTINA,V,30-34,E,89441,
1895,AR,ARGENTINA,V,35-39,E,79285,
1895,AR,ARGENTINA,V,40-44,E,68342,
1895,AR,ARGENTINA,V,45-49,E,50056,
1895,AR,ARGENTINA,V,50-54,E,39319,
1895,AR,ARGENTINA,V,55-59,E,21263,
1895,AR,ARGENTINA,V,60-64,E,15678,
1895,AR,ARGENTINA,V,65-69,E,7311,
1895,AR,ARGENTINA,V,70-74,E,4572,
1895,AR,ARGENTINA,V,75-79,E,2062,
1895,AR,ARGENTINA,V,80-84,E,985,
1895,AR,ARGENTINA,V,85+,E,534,
1914,AR,ARGENTINA,M,10-14,E,52012,
1914,AR,ARGENTINA,M,05-09,E,42081,
1914,AR,ARGENTINA,M,00-04,E,15067,
1914,AR,ARGENTINA,M,15-19,E,71961,
1914,AR,ARGENTINA,M,20-24,E,104484,
1914,AR,ARGENTINA,M,25-29,E,121023,
1914,AR,ARGENTINA,M,30-34,E,103002,
1914,AR,ARGENTINA,M,35-39,E,85540,
1914,AR,ARGENTINA,M,40-44,E,69006,
1914,AR,ARGENTINA,M,45-49,E,58192,
1914,AR,ARGENTINA,M,50-54,E,52862,
1914,AR,ARGENTINA,M,55-59,E,36709,
1914,AR,ARGENTINA,M,60-64,E,31587,
1914,AR,ARGENTINA,M,65-69,E,18167,
1914,AR,ARGENTINA,M,70-74,E,11960,
1914,AR,ARGENTINA,M,75-79,E,5651,
1914,AR,ARGENTINA,M,80-84,E,2951,
1914,AR,ARGENTINA,M,85+,E,1888,
1914,AR,ARGENTINA,V,10-14,E,59104,
1914,AR,ARGENTINA,V,05-09,E,44809,
1914,AR,ARGENTINA,V,00-04,E,16097,
1914,AR,ARGENTINA,V,15-19,E,119504,
1914,AR,ARGENTINA,V,20-24,E,201921,
1914,AR,ARGENTINA,V,25-29,E,228377,
1914,AR,ARGENTINA,V,30-34,E,193303,
1914,AR,ARGENTINA,V,35-39,E,148304,
1914,AR,ARGENTINA,V,40-44,E,122568,
1914,AR,ARGENTINA,V,45-49,E,98296,
1914,AR,ARGENTINA,V,50-54,E,87527,
1914,AR,ARGENTINA,V,55-59,E,56307,
1914,AR,ARGENTINA,V,60-64,E,45451,
1914,AR,ARGENTINA,V,65-69,E,24159,
1914,AR,ARGENTINA,V,70-74,E,16085,
1914,AR,ARGENTINA,V,75-79,E,6974,
1914,AR,ARGENTINA,V,80-84,E,3405,
1914,AR,ARGENTINA,V,85+,E,1618,
1947,AR,ARGENTINA,M,10-14,E,10966,
1947,AR,ARGENTINA,M,05-09,E,6518,
1947,AR,ARGENTINA,M,00-04,E,3935,
1947,AR,ARGENTINA,M,15-19,E,21879,
1947,AR,ARGENTINA,M,20-24,E,45361,
1947,AR,ARGENTINA,M,25-29,E,48274,
1947,AR,ARGENTINA,M,30-34,E,54492,
1947,AR,ARGENTINA,M,35-39,E,97204,
1947,AR,ARGENTINA,M,40-44,E,129797,
1947,AR,ARGENTINA,M,45-49,E,126040,
1947,AR,ARGENTINA,M,50-54,E,111862,
1947,AR,ARGENTINA,M,55-59,E,107022,
1947,AR,ARGENTINA,M,60-64,E,94811,
1947,AR,ARGENTINA,M,65-69,E,68221,
1947,AR,ARGENTINA,M,70-74,E,44411,
1947,AR,ARGENTINA,M,75-79,E,26964,
1947,AR,ARGENTINA,M,80-84,E,14963,
1947,AR,ARGENTINA,M,85+,E,8771,
1947,AR,ARGENTINA,V,10-14,E,11258,
1947,AR,ARGENTINA,V,05-09,E,6426,
1947,AR,ARGENTINA,V,00-04,E,4017,
1947,AR,ARGENTINA,V,15-19,E,23681,
1947,AR,ARGENTINA,V,20-24,E,51367,
